OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11-2030,Public Relations and Fundraising Managers,broad,81110,1.4,65.18,135580,0.8,32.09,41.56,56.94,79.49,,66740,86440,118430,165340,0,,
11-2030,Public Relations and Fundraising Managers,detailed,81110,1.4,65.18,135580,0.8,32.09,41.56,56.94,79.49,,66740,86440,118430,165340,0,,
11-3000,Operations Specialties Managers,minor,2012370,0.3,66.63,138590,0.2,33.0,43.79,60.12,81.0,,68640,91070,125040,168480,0,,
11-3010,Administrative Services and Facilities Managers,broad,307620,0.6,51.98,108120,0.3,26.96,35.41,47.54,62.95,81.7,56080,73650,98890,130930,169930,,
11-3010,Administrative Services and Facilities Managers,detailed,307620,0.6,51.98,108120,0.3,26.96,35.41,47.54,62.95,81.7,56080,73650,98890,130930,169930,,
11-3020,Computer and Information Systems Managers,broad,457290,0.7,77.76,161730,0.3,43.48,56.25,72.67,92.05,,90430,116990,151150,191470,0,,
11-3021,Computer and Information Systems Managers,detailed,457290,0.7,77.76,161730,0.3,43.48,56.25,72.67,92.05,,90430,116990,151150,191470,0,,
11-3030,Financial Managers,broad,653080,0.5,72.84,151510,0.3,34.05,46.04,64.51,89.44,,70830,95770,134180,186030,0,,
11-3031,Financial Managers,detailed,653080,0.5,72.84,151510,0.3,34.05,46.04,64.51,89.44,,70830,95770,134180,186030,0,,
11-3050,Industrial Production Managers,broad,179570,0.8,56.82,118190,0.3,32.26,40.86,52.3,67.93,87.12,67100,84990,108790,141290,181220,,
11-3051,Industrial Production Managers,detailed,179570,0.8,56.82,118190,0.3,32.26,40.86,52.3,67.93,87.12,67100,84990,108790,141290,181220,,
11-3060,Purchasing Managers,broad,70960,0.9,63.78,132660,0.4,35.85,46.35,60.55,76.04,95.01,74570,96400,125940,158160,197630,,
11-3061,Purchasing Managers,detailed,70960,0.9,63.78,132660,0.4,35.85,46.35,60.55,76.04,95.01,74570,96400,125940,158160,197630,,
11-3070,"Transportation, Storage, and Distribution Managers",broad,132210,1.0,50.53,105100,0.4,27.39,35.43,46.34,60.85,78.91,56970,73700,96390,126560,164140,,
11-3071,"Transportation, Storage, and Distribution Managers",detailed,132210,1.0,50.53,105100,0.4,27.39,35.43,46.34,60.85,78.91,56970,73700,96390,126560,164140,,
11-3110,Compensation and Benefits Managers,broad,16340,2.1,65.94,137160,1.0,34.1,44.96,60.16,81.01,,70920,93510,125130,168500,0,,
11-3111,Compensation and Benefits Managers,detailed,16340,2.1,65.94,137160,1.0,34.1,44.96,60.16,81.01,,70920,93510,125130,168500,0,,
11-3120,Human Resources Managers,broad,156600,0.6,64.7,134580,0.3,34.22,44.1,58.28,78.23,,71180,91730,121220,162720,0,,
11-3121,Human Resources Managers,detailed,156600,0.6,64.7,134580,0.3,34.22,44.1,58.28,78.23,,71180,91730,121220,162720,0,,
11-3130,Training and Development Managers,broad,38710,1.3,60.54,125920,0.5,31.86,41.74,55.6,74.58,96.25,66270,86820,115640,155120,200210,,
11-3131,Training and Development Managers,detailed,38710,1.3,60.54,125920,0.5,31.86,41.74,55.6,74.58,96.25,66270,86820,115640,155120,200210,,
11-9000,Other Management Occupations,minor,2569880,0.3,51.4,106910,0.2,22.29,31.5,45.76,64.36,86.41,46370,65510,95180,133870,179730,,
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,5670,13.5,36.93,76810,6.2,16.87,20.6,32.73,46.63,62.86,35090,42850,68090,96980,130760,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,5670,13.5,36.93,76810,6.2,16.87,20.6,32.73,46.63,62.86,35090,42850,68090,96980,130760,,
11-9020,Construction Managers,broad,285640,1.0,51.57,107260,0.5,27.35,35.32,46.72,61.95,81.28,56880,73460,97180,128860,169070,,
11-9021,Construction Managers,detailed,285640,1.0,51.57,107260,0.5,27.35,35.32,46.72,61.95,81.28,56880,73460,97180,128860,169070,,
11-9030,Education and Childcare Administrators,broad,493350,0.6,48.64,101160,0.5,24.83,33.72,44.94,59.48,76.94,51650,70140,93470,123710,160030,,
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,46410,2.1,26.41,54940,1.2,15.09,18.27,23.63,30.54,41.36,31380,38000,49160,63520,86040,,
11-9032,"Education Administrators, Kindergarten through Secondary",detailed,262480,0.8,,103010,0.6,,,,,,65150,78560,98490,124380,152500,True,
11-9033,"Education Administrators, Postsecondary",detailed,140880,1.2,55.38,115200,0.8,27.07,34.63,46.87,66.94,95.87,56310,72030,97500,139220,199400,,
11-9039,"Education Administrators, All Other",detailed,43580,2.5,45.11,93830,0.8,22.94,30.33,42.11,56.57,70.59,47710,63090,87580,117670,146820,,
11-9040,Architectural and Engineering Managers,broad,195900,1.2,76.01,158100,0.5,45.82,57.36,71.89,89.07,,95310,119310,149530,185270,0,,
11-9041,Architectural and Engineering Managers,detailed,195900,1.2,76.01,158100,0.5,45.82,57.36,71.89,89.07,,95310,119310,149530,185270,0,,
11-9050,Food Service Managers,broad,197010,1.3,29.33,61000,0.6,16.29,20.95,27.21,35.25,45.56,33880,43580,56590,73330,94770,,
11-9051,Food Service Managers,detailed,197010,1.3,29.33,61000,0.6,16.29,20.95,27.21,35.25,45.56,33880,43580,56590,73330,94770,,
11-9071,Gambling Managers,detailed,3240,3.9,41.08,85440,1.2,22.37,28.19,36.28,47.77,67.15,46540,58640,75470,99350,139680,,
11-9080,Lodging Managers,broad,31790,3.0,31.38,65270,1.3,15.86,20.4,27.25,36.86,51.95,32980,42430,56670,76660,108060,,
11-9081,Lodging Managers,detailed,31790,3.0,31.38,65270,1.3,15.86,20.4,27.25,36.86,51.95,32980,42430,56670,76660,108060,,
11-9110,Medical and Health Services Managers,broad,402540,0.7,57.12,118800,0.4,28.84,37.9,50.13,67.14,94.05,59980,78820,104280,139650,195630,,
11-9111,Medical and Health Services Managers,detailed,402540,0.7,57.12,118800,0.4,28.84,37.9,50.13,67.14,94.05,59980,78820,104280,139650,195630,,
11-9120,Natural Sciences Managers,broad,75870,4.9,74.49,154930,1.9,34.33,48.92,66.32,91.35,,71400,101750,137940,190000,0,,
11-9121,Natural Sciences Managers,detailed,75870,4.9,74.49,154930,1.9,34.33,48.92,66.32,91.35,,71400,101750,137940,190000,0,,
11-9130,Postmasters and Mail Superintendents,broad,13880,0.3,38.3,79660,0.1,31.9,34.46,37.53,42.33,46.32,66360,71690,78060,88040,96350,,
11-9131,Postmasters and Mail Superintendents,detailed,13880,0.3,38.3,79660,0.1,31.9,34.46,37.53,42.33,46.32,66360,71690,78060,88040,96350,,
11-9140,"Property, Real Estate, and Community Association Managers",broad,219800,1.4,35.2,73210,1.0,15.06,20.35,28.68,41.5,64.7,31330,42330,59660,86320,134570,,
11-9141,"Property, Real Estate, and Community Association Managers",detailed,219800,1.4,35.2,73210,1.0,15.06,20.35,28.68,41.5,64.7,31330,42330,59660,86320,134570,,
11-9150,Social and Community Service Managers,broad,155800,1.5,36.13,75140,0.6,20.3,25.9,33.46,43.57,55.67,42230,53880,69600,90630,115800,,
11-9151,Social and Community Service Managers,detailed,155800,1.5,36.13,75140,0.6,20.3,25.9,33.46,43.57,55.67,42230,53880,69600,90630,115800,,
11-9160,Emergency Management Directors,broad,10210,1.5,40.53,84310,0.9,20.3,26.76,36.66,50.42,68.69,42230,55660,76250,104880,142870,,
11-9161,Emergency Management Directors,detailed,10210,1.5,40.53,84310,0.9,20.3,26.76,36.66,50.42,68.69,42230,55660,76250,104880,142870,,
11-9171,Funeral Home Managers,detailed,10010,3.9,44.01,91530,4.0,20.67,26.63,35.67,51.09,75.45,42990,55400,74200,106260,156940,,
11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,469160,0.6,59.61,123980,0.3,27.08,39.14,55.94,73.88,94.84,56330,81410,116350,153670,197270,,
13-0000,Business and Financial Operations Occupations,major,8387490,0.2,38.79,80680,0.2,19.38,25.74,34.73,47.31,62.68,40310,53550,72250,98390,130380,,
13-1000,Business Operations Specialists,minor,5632020,0.3,37.66,78320,0.2,19.0,25.38,34.35,46.68,60.88,39510,52800,71450,97100,126620,,
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,16240,6.9,47.15,98070,4.7,17.23,25.54,36.26,58.66,91.59,35840,53130,75420,122010,190500,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,16240,6.9,47.15,98070,4.7,17.23,25.54,36.26,58.66,91.59,35840,53130,75420,122010,190500,,
13-1020,Buyers and Purchasing Agents,broad,419920,0.7,34.8,72370,0.3,19.14,24.44,32.06,42.6,53.93,39810,50840,66690,88600,112170,,
13-1020,Buyers and Purchasing Agents,detailed,419920,0.7,34.8,72370,0.3,19.14,24.44,32.06,42.6,53.93,39810,50840,66690,88600,112170,,
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,300380,1.4,33.92,70560,0.4,20.25,25.2,32.76,41.07,49.71,42120,52420,68130,85430,103390,,
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,287150,1.4,33.97,70650,0.4,20.17,25.08,32.82,41.26,49.81,41950,52160,68270,85820,103610,,
13-1032,"Insurance Appraisers, Auto Damage",detailed,13220,6.6,32.95,68540,0.9,22.31,26.77,31.52,38.48,45.98,46410,55680,65550,80030,95630,,
13-1040,Compliance Officers,broad,327360,0.6,36.35,75620,0.3,19.31,25.32,34.18,45.83,55.39,40160,52670,71100,95330,115220,,
13-1041,Compliance Officers,detailed,327360,0.6,36.35,75620,0.3,19.31,25.32,34.18,45.83,55.39,40160,52670,71100,95330,115220,,
13-1050,Cost Estimators,broad,199360,1.0,35.08,72960,0.4,19.41,24.99,32.03,42.53,54.98,40380,51980,66610,88460,114360,,
13-1051,Cost Estimators,detailed,199360,1.0,35.08,72960,0.4,19.41,24.99,32.03,42.53,54.98,40380,51980,66610,88460,114360,,
13-1070,Human Resources Workers,broad,718120,0.5,33.63,69950,0.3,17.66,23.13,30.81,41.04,53.58,36730,48110,64070,85370,111450,,
13-1071,Human Resources Specialists,detailed,647810,0.5,33.38,69430,0.2,18.13,23.17,30.52,40.36,52.57,37710,48190,63490,83940,109350,,
13-1074,Farm Labor Contractors,detailed,0,,24.18,50300,4.7,17.52,20.8,22.97,25.14,34.43,36440,43260,47780,52280,71620,,
13-1075,Labor Relations Specialists,detailed,70050,2.0,36.0,74870,1.5,9.39,22.33,35.21,48.05,61.83,19520,46440,73240,99940,128600,,
13-1081,Logisticians,detailed,184230,1.0,38.38,79830,0.5,21.25,27.79,36.67,47.31,58.93,44190,57810,76270,98400,122580,,
13-1110,Management Analysts,broad,734000,0.9,46.91,97580,0.4,24.51,31.77,42.14,56.11,75.41,50990,66080,87660,116710,156840,,
13-1111,Management Analysts,detailed,734000,0.9,46.91,97580,0.4,24.51,31.77,42.14,56.11,75.41,50990,66080,87660,116710,156840,,
13-1120,"Meeting, Convention, and Event Planners",broad,109800,1.7,26.87,55890,0.8,14.06,18.49,24.79,32.33,42.48,29240,38460,51560,67250,88360,,
13-1121,"Meeting, Convention, and Event Planners",detailed,109800,1.7,26.87,55890,0.8,14.06,18.49,24.79,32.33,42.48,29240,38460,51560,67250,88360,,
13-1130,Fundraisers,broad,82140,1.8,31.03,64550,0.7,16.5,21.72,28.66,37.98,49.67,34320,45170,59610,78990,103320,,
13-1131,Fundraisers,detailed,82140,1.8,31.03,64550,0.7,16.5,21.72,28.66,37.98,49.67,34320,45170,59610,78990,103320,,
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,87870,1.9,34.91,72610,0.6,19.95,25.01,32.3,41.63,53.81,41490,52010,67190,86590,111930,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,87870,1.9,34.91,72610,0.6,19.95,25.01,32.3,41.63,53.81,41490,52010,67190,86590,111930,,
13-1150,Training and Development Specialists,broad,318040,0.7,32.43,67440,0.3,16.3,22.06,30.14,40.15,51.47,33900,45870,62700,83510,107060,,
13-1151,Training and Development Specialists,detailed,318040,0.7,32.43,67440,0.3,16.3,22.06,30.14,40.15,51.47,33900,45870,62700,83510,107060,,
13-1160,Market Research Analysts and Marketing Specialists,broad,690160,0.7,35.56,73970,0.5,17.01,23.1,31.64,44.73,61.26,35380,48040,65810,93030,127410,,
13-1161,Market Research Analysts and Marketing Specialists,detailed,690160,0.7,35.56,73970,0.5,17.01,23.1,31.64,44.73,61.26,35380,48040,65810,93030,127410,,
13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,1444420,0.5,40.53,84290,0.3,20.28,27.3,37.22,50.2,65.01,42180,56790,77420,104410,135220,,
13-2000,Financial Specialists,minor,2755470,0.4,41.11,85510,0.3,20.14,26.52,35.5,48.69,67.5,41890,55150,73840,101270,140390,,
13-2010,Accountants and Auditors,broad,1274620,0.5,39.26,81660,0.3,21.74,27.46,35.37,46.89,61.87,45220,57110,73560,97530,128680,,
13-2011,Accountants and Auditors,detailed,1274620,0.5,39.26,81660,0.3,21.74,27.46,35.37,46.89,61.87,45220,57110,73560,97530,128680,,
13-2020,Property Appraisers and Assessors,broad,55990,3.2,31.55,65630,1.4,15.86,20.87,28.2,38.84,51.48,32990,43400,58650,80790,107090,,
13-2020,Property Appraisers and Assessors,detailed,55990,3.2,31.55,65630,1.4,15.86,20.87,28.2,38.84,51.48,32990,43400,58650,80790,107090,,
13-2030,Budget Analysts,broad,49260,1.1,39.75,82690,0.4,24.63,30.07,37.97,48.11,58.35,51220,62540,78970,100060,121360,,
13-2031,Budget Analysts,detailed,49260,1.1,39.75,82690,0.4,24.63,30.07,37.97,48.11,58.35,51220,62540,78970,100060,121360,,
13-2040,Credit Analysts,broad,72090,2.4,41.43,86170,1.2,21.28,26.98,36.05,49.92,70.52,44250,56120,74970,103840,146690,,
13-2041,Credit Analysts,detailed,72090,2.4,41.43,86170,1.2,21.28,26.98,36.05,49.92,70.52,44250,56120,74970,103840,146690,,
13-2052,Personal Financial Advisors,detailed,218050,1.7,58.89,122490,1.2,21.2,28.58,42.95,75.49,,44100,59450,89330,157020,0,,
13-2053,Insurance Underwriters,detailed,101790,2.3,38.65,80390,0.9,20.78,26.37,34.51,47.03,62.28,43210,54850,71790,97820,129550,,
13-2060,Financial Examiners,broad,68210,2.2,44.58,92730,1.4,21.1,28.39,39.15,54.41,76.5,43890,59050,81430,113170,159120,,
13-2061,Financial Examiners,detailed,68210,2.2,44.58,92730,1.4,21.1,28.39,39.15,54.41,76.5,43890,59050,81430,113170,159120,,
13-2070,Credit Counselors and Loan Officers,broad,339470,1.1,35.81,74490,0.6,16.06,21.24,29.63,43.2,62.63,33400,44170,61640,89860,130270,,
13-2071,Credit Counselors,detailed,30770,3.6,24.01,49940,0.9,15.46,18.1,22.2,27.51,35.77,32160,37640,46170,57220,74410,,
13-2072,Loan Officers,detailed,308700,1.2,36.99,76930,0.7,16.18,21.89,30.75,44.95,64.35,33650,45540,63960,93490,133850,,
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,115750,1.6,27.4,57000,1.3,12.3,16.79,24.32,34.41,47.96,25590,34910,50580,71570,99750,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,53150,0.6,29.83,62040,0.4,15.95,20.21,26.75,37.28,50.69,33180,42040,55640,77540,105430,,
13-2082,Tax Preparers,detailed,62600,2.9,25.34,52710,2.2,10.62,14.09,21.3,31.71,44.97,22090,29310,44300,65960,93540,,
13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,460250,0.9,46.46,96630,0.7,23.44,30.61,40.22,54.07,76.71,48760,63670,83660,112460,159560,,
15-0000,Computer and Mathematical Occupations,major,4587700,0.5,46.53,96770,0.5,22.31,31.12,43.92,59.44,75.54,46400,64730,91350,123640,157120,,
15-1200,Computer Occupations,minor,4368000,0.5,46.46,96630,0.6,22.2,31.03,43.87,59.42,75.5,46180,64540,91250,123600,157030,,
15-1210,Computer and Information Analysts,broad,712460,0.9,48.4,100680,0.3,27.43,35.11,45.91,59.41,74.6,57060,73030,95490,123570,155170,,
15-1211,Computer Systems Analysts,detailed,574450,1.0,47.61,99020,0.4,27.17,34.63,45.06,58.12,73.11,56510,72030,93730,120890,152060,,
15-1212,Information Security Analysts,detailed,138000,1.7,51.72,107580,0.4,28.88,37.71,49.8,63.89,78.51,60060,78440,103590,132890,163300,,
15-1220,Computer and Information Research Scientists,broad,30220,3.3,62.93,130890,1.4,34.72,45.84,60.97,75.83,93.48,72210,95340,126830,157720,194430,,
15-1221,Computer and Information Research Scientists,detailed,30220,3.3,62.93,130890,1.4,34.72,45.84,60.97,75.83,93.48,72210,95340,126830,157720,194430,,
15-1230,Computer Support Specialists,broad,819040,0.7,28.92,60160,0.3,16.23,20.42,26.69,35.3,46.17,33770,42470,55510,73420,96020,,
15-1231,Computer Network Support Specialists,detailed,184220,1.4,34.16,71040,0.5,19.53,24.39,31.47,41.31,53.1,40620,50730,65450,85930,110450,,
15-1232,Computer User Support Specialists,detailed,634820,0.8,27.4,57000,0.3,15.78,19.58,25.33,32.93,42.76,32830,40730,52690,68500,88940,,
15-1240,Database and Network Administrators and Architects,broad,632540,0.7,47.8,99420,0.3,26.44,34.11,45.37,59.61,74.78,54990,70950,94380,124000,155530,,
15-1241,Computer Network Architects,detailed,159350,1.6,57.32,119230,0.6,32.31,42.37,56.14,70.9,84.41,67190,88120,116780,147480,175570,,
15-1244,Network and Computer Systems Administrators,detailed,339560,0.8,43.01,89460,0.3,25.4,31.89,40.77,51.74,64.89,52830,66340,84810,107610,134970,,
15-1245,Database Administrators and Architects,detailed,133630,1.1,48.6,101090,0.4,25.99,34.57,47.53,61.0,74.84,54070,71900,98860,126890,155660,,
15-1250,"Software and Web Developers, Programmers, and Testers",broad,1811160,0.8,52.86,109950,0.9,28.39,37.86,50.63,65.46,80.51,59060,78750,105310,136150,167460,,
15-1251,Computer Programmers,detailed,178140,1.8,45.98,95640,1.6,24.73,32.39,42.88,55.87,70.22,51440,67370,89190,116220,146050,,
15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,1476800,0.9,54.94,114270,0.7,31.35,40.39,52.95,67.53,81.78,65210,84020,110140,140470,170100,,
15-1257,Web Developers and Digital Interface Designers,detailed,156220,1.6,41.1,85490,3.6,19.59,26.63,37.12,51.74,70.4,40750,55390,77200,107620,146430,,
15-1290,Miscellaneous Computer Occupations,broad,362580,1.0,46.51,96740,0.6,22.0,31.55,44.65,58.83,73.43,45760,65630,92870,122360,152730,,
15-1299,"Computer Occupations, All Other",detailed,362580,1.0,46.51,96740,0.6,22.0,31.55,44.65,58.83,73.43,45760,65630,92870,122360,152730,,
15-2000,Mathematical Science Occupations,minor,219700,1.2,47.93,99700,0.5,24.71,32.81,44.79,59.82,76.18,51390,68250,93170,124420,158450,,
15-2010,Actuaries,broad,22480,3.3,59.22,123180,1.1,31.74,40.17,53.38,72.62,94.24,66030,83550,111030,151060,196010,,
15-2011,Actuaries,detailed,22480,3.3,59.22,123180,1.1,31.74,40.17,53.38,72.62,94.24,66030,83550,111030,151060,196010,,
15-2020,Mathematicians,broad,2460,7.9,54.1,112530,1.7,29.39,38.12,53.3,64.75,81.8,61130,79280,110860,134680,170150,,
15-2021,Mathematicians,detailed,2460,7.9,54.1,112530,1.7,29.39,38.12,53.3,64.75,81.8,61130,79280,110860,134680,170150,,
15-2030,Operations Research Analysts,broad,96220,1.7,44.37,92280,0.6,23.1,30.32,41.44,55.33,69.39,48050,63070,86200,115080,144330,,
15-2031,Operations Research Analysts,detailed,96220,1.7,44.37,92280,0.6,23.1,30.32,41.44,55.33,69.39,48050,63070,86200,115080,144330,,
15-2040,Statisticians,broad,38860,2.7,46.72,97170,1.1,25.33,33.08,44.36,58.56,72.52,52700,68810,92270,121800,150840,,
15-2041,Statisticians,detailed,38860,2.7,46.72,97170,1.1,25.33,33.08,44.36,58.56,72.52,52700,68810,92270,121800,150840,,
15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,59680,2.4,49.97,103930,0.8,25.46,34.51,47.23,62.68,79.44,52950,71790,98230,130370,165230,,
17-0000,Architecture and Engineering Occupations,major,2515040,0.5,43.41,90300,0.3,22.21,29.87,39.98,53.83,69.27,46190,62120,83160,111960,144090,,
17-1000,"Architects, Surveyors, and Cartographers",minor,180930,1.2,39.44,82030,0.6,21.1,27.69,36.63,48.11,61.39,43890,57600,76190,100070,127690,,
17-1010,"Architects, Except Naval",broad,124630,1.5,41.89,87130,0.8,23.04,29.6,38.63,50.21,63.99,47930,61570,80350,104430,133100,,
17-1011,"Architects, Except Landscape and Naval",detailed,103900,1.7,43.01,89470,0.9,24.02,30.49,39.58,51.29,65.54,49950,63420,82320,106680,136310,,
17-1012,Landscape Architects,detailed,20730,5.2,36.27,75440,1.3,20.43,26.34,33.96,44.55,55.61,42500,54790,70630,92670,115660,,
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,56310,2.2,34.01,70740,0.6,18.68,24.23,31.85,42.18,52.4,38860,50390,66250,87730,108980,,
17-1021,Cartographers and Photogrammetrists,detailed,12600,6.9,34.82,72420,1.2,20.66,26.01,32.88,42.61,52.35,42980,54110,68380,88620,108890,,
17-1022,Surveyors,detailed,43710,2.0,33.78,70260,0.7,18.12,23.68,31.54,42.06,52.41,37690,49250,65590,87480,109010,,
17-2000,Engineers,minor,1673440,0.6,49.28,102500,0.3,28.54,35.79,46.3,60.01,75.77,59360,74440,96310,124810,157590,,
17-2010,Aerospace Engineers,broad,60630,3.1,58.23,121110,0.8,34.99,43.98,57.02,71.43,82.32,72770,91480,118610,148570,171220,,
17-2011,Aerospace Engineers,detailed,60630,3.1,58.23,121110,0.8,34.99,43.98,57.02,71.43,82.32,72770,91480,118610,148570,171220,,
17-2020,Agricultural Engineers,broad,1440,10.3,48.86,101620,11.5,24.6,30.14,40.58,50.96,80.11,51160,62700,84410,106000,166620,,
17-2021,Agricultural Engineers,detailed,1440,10.3,48.86,101620,11.5,24.6,30.14,40.58,50.96,80.11,51160,62700,84410,106000,166620,,
17-2030,Bioengineers and Biomedical Engineers,broad,18660,4.9,47.28,98340,1.1,27.21,34.54,44.53,57.18,71.85,56590,71830,92620,118930,149440,,
17-2031,Bioengineers and Biomedical Engineers,detailed,18660,4.9,47.28,98340,1.1,27.21,34.54,44.53,57.18,71.85,56590,71830,92620,118930,149440,,
17-2040,Chemical Engineers,broad,25770,2.6,55.2,114820,0.9,32.9,40.81,52.18,65.56,81.23,68430,84890,108540,136360,168960,,
17-2041,Chemical Engineers,detailed,25770,2.6,55.2,114820,0.9,32.9,40.81,52.18,65.56,81.23,68430,84890,108540,136360,168960,,
17-2050,Civil Engineers,broad,300850,1.0,45.88,95440,0.4,27.0,33.22,42.58,55.34,69.62,56160,69100,88570,115110,144810,,
17-2051,Civil Engineers,detailed,300850,1.0,45.88,95440,0.4,27.0,33.22,42.58,55.34,69.62,56160,69100,88570,115110,144810,,
17-2060,Computer Hardware Engineers,broad,64710,3.9,60.65,126140,1.8,33.7,43.42,57.48,73.77,92.36,70100,90310,119560,153450,192110,,
17-2061,Computer Hardware Engineers,detailed,64710,3.9,60.65,126140,1.8,33.7,43.42,57.48,73.77,92.36,70100,90310,119560,153450,192110,,
17-2070,Electrical and Electronics Engineers,broad,307540,1.2,52.17,108510,0.4,32.04,38.95,49.71,63.21,78.34,66650,81010,103390,131470,162940,,
17-2071,Electrical Engineers,detailed,185220,1.4,50.96,105990,0.5,31.19,37.98,48.48,61.86,76.69,64870,79010,100830,128680,159520,,
17-2072,"Electronics Engineers, Except Computer",detailed,122320,1.8,54.0,112320,0.6,33.28,40.58,51.7,65.05,80.48,69210,84400,107540,135290,167410,,
17-2080,Environmental Engineers,broad,50260,2.0,46.58,96890,0.7,26.66,33.78,44.29,57.19,69.55,55450,70260,92120,118960,144670,,
17-2081,Environmental Engineers,detailed,50260,2.0,46.58,96890,0.7,26.66,33.78,44.29,57.19,69.55,55450,70260,92120,118960,144670,,
17-2110,"Industrial Engineers, Including Health and Safety",broad,313980,1.3,45.14,93890,0.3,27.77,34.43,42.93,53.89,66.22,57750,71620,89290,112090,137740,,
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,23780,2.2,46.8,97330,0.7,26.63,34.36,45.31,58.12,69.62,55390,71460,94240,120890,144800,,
17-2112,Industrial Engineers,detailed,290190,1.4,45.01,93610,0.3,27.86,34.44,42.76,53.54,65.83,57950,71630,88950,111360,136930,,
17-2120,Marine Engineers and Naval Architects,broad,8700,7.8,47.88,99590,1.6,30.1,36.9,45.89,57.11,71.43,62610,76750,95440,118790,148580,,
17-2121,Marine Engineers and Naval Architects,detailed,8700,7.8,47.88,99590,1.6,30.1,36.9,45.89,57.11,71.43,62610,76750,95440,118790,148580,,
17-2130,Materials Engineers,broad,24740,2.5,48.34,100550,0.9,27.87,35.55,45.98,59.42,74.2,57970,73950,95640,123590,154340,,
17-2131,Materials Engineers,detailed,24740,2.5,48.34,100550,0.9,27.87,35.55,45.98,59.42,74.2,57970,73950,95640,123590,154340,,
17-2140,Mechanical Engineers,broad,293960,1.4,45.94,95560,0.4,28.08,34.56,43.35,54.99,67.82,58410,71880,90160,114380,141060,,
